v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,S2
14,37,107,81,11,117,17,74,93,46,59,73,103,49,66,47,19575
17,66,107,59,11,103,14,93,74,47,81,73,117,49,37,46,19575
17,74,11,117,107,81,14,37,66,47,103,49,59,73,93,46,19575
46,37,49,117,73,81,47,74,93,14,103,11,59,107,66,17,19575
46,93,73,59,49,103,47,66,37,14,81,107,117,11,74,17,19575
47,74,73,81,49,117,46,37,66,17,59,107,103,11,93,14,19575
47,66,49,103,73,59,46,93,74,17,117,11,81,107,37,14,19575
59,107,66,17,93,14,103,11,73,81,47,74,46,37,49,117,19575
59,73,93,46,66,47,103,49,107,81,14,37,17,74,11,117,19575
81,73,74,47,37,46,117,49,107,59,17,66,14,93,11,103,19575
81,107,37,14,74,17,117,11,73,59,46,93,47,66,49,103,19575
103,11,93,14,66,17,59,107,49,117,46,37,47,74,73,81,19575
103,49,66,47,93,46,59,73,11,117,17,74,14,37,107,81,19575
117,49,37,46,74,47,81,73,11,103,14,93,17,66,107,59,19575
117,11,74,17,37,14,81,107,49,103,47,66,46,93,73,59,19575
1,133,4,48,92,24,77,71,27,31,112,76,104,28,39,83,20010
1,27,92,104,4,112,77,39,133,31,24,28,48,76,71,83,20010
24,92,71,77,133,1,48,4,28,104,83,39,31,27,76,112,20010
24,28,133,31,71,83,48,76,92,104,1,27,77,39,4,112,20010
31,27,76,112,28,104,83,39,133,1,48,4,24,92,71,77,20010
31,133,28,24,76,48,83,71,27,1,104,92,112,4,39,77,20010
48,4,133,1,71,77,24,92,76,112,31,27,83,39,28,104,20010
48,76,71,83,133,31,24,28,4,112,77,39,1,27,92,104,20010
77,71,92,24,4,48,1,133,39,83,104,28,112,76,27,31,20010
77,39,4,112,92,104,1,27,71,83,48,76,24,28,133,31,20010
83,39,28,104,76,112,31,27,71,77,24,92,48,4,133,1,20010
83,71,76,48,28,24,31,133,39,77,112,4,104,92,27,1,20010
104,28,39,83,27,31,112,76,92,24,77,71,1,133,4,48,20010
104,92,27,1,39,77,112,4,28,24,31,133,83,71,76,48,20010
112,76,27,31,39,83,104,28,4,48,1,133,77,71,92,24,20010
112,4,39,77,27,1,104,92,76,48,83,71,31,133,28,24,20010
16,99,93,62,18,107,61,84,91,36,78,83,117,2,64,69,22550
16,91,18,117,93,78,61,64,99,36,107,2,62,83,84,69,22550
36,91,83,78,2,117,69,64,99,16,62,93,107,18,84,61,22550
36,99,2,107,83,62,69,84,91,16,117,18,78,93,64,61,22550
61,84,18,107,93,62,16,99,64,69,117,2,78,83,91,36,22550
61,64,93,78,18,117,16,91,84,69,62,83,107,2,99,36,22550
62,93,99,16,84,61,107,18,83,78,36,91,69,64,2,117,22550
62,83,84,69,99,36,107,2,93,78,61,64,16,91,18,117,22550
69,64,2,117,83,78,36,91,84,61,107,18,62,93,99,16,22550
69,84,83,62,2,107,36,99,64,61,78,93,117,18,91,16,22550
78,83,91,36,64,69,117,2,93,62,16,99,61,84,18,107,22550
78,93,64,61,91,16,117,18,83,62,69,84,36,99,2,107,22550
107,18,84,61,99,16,62,93,2,117,69,64,36,91,83,78,22550
107,2,99,36,84,69,62,83,18,117,16,91,61,64,93,78,22550
117,2,64,69,91,36,78,83,18,107,61,84,16,99,93,62,22550
117,18,91,16,64,61,78,93,2,107,36,99,69,84,83,62,22550
4,107,103,46,34,97,53,104,83,56,94,73,127,14,44,77,24190
4,83,34,127,103,94,53,44,107,56,97,14,46,73,104,77,24190
46,103,107,4,104,53,97,34,73,94,56,83,77,44,14,127,24190
46,73,104,77,107,56,97,14,103,94,53,44,4,83,34,127,24190
53,104,34,97,103,46,4,107,44,77,127,14,94,73,83,56,24190
53,44,103,94,34,127,4,83,104,77,46,73,97,14,107,56,24190
56,83,73,94,14,127,77,44,107,4,46,103,97,34,104,53,24190
56,107,14,97,73,46,77,104,83,4,127,34,94,103,44,53,24190
77,44,14,127,73,94,56,83,104,53,97,34,46,103,107,4,24190
77,104,73,46,14,97,56,107,44,53,94,103,127,34,83,4,24190
94,73,83,56,44,77,127,14,103,46,4,107,53,104,34,97,24190
94,103,44,53,83,4,127,34,73,46,77,104,56,107,14,97,24190
97,34,104,53,107,4,46,103,14,127,77,44,56,83,73,94,24190
97,14,107,56,104,77,46,73,34,127,4,83,53,44,103,94,24190
